40148	1445	103632
17884	1263	29525
16382	2000	34518
14758	4616	42475
13889	14503	59105
16139	38519	96253
24292	81545	164985
37791	146559	259013
57408	220058	348236
77264	256803	372844
91930	263579	353037
112878	263883	333475
142722	250548	331228
171223	238971	333394
195072	234965	327788
201331	237331	308077
190576	236312	275995
178639	229918	237507
173509	212255	202659
167661	190366	170579
161371	170005	144195
152543	154619	122001
138665	142836	104615
124565	136998	91249
114798	130782	81292
107220	124903	72197
101038	118575	65463
96650	112381	60328
92630	104277	55818
90463	95834	53063
89469	88234	50185
88574	80747	48636
87738	74407	46818
86550	68343	45356
85449	62744	43669
85376	59305	41075
84925	55944	38598
83885	53291	35363
82619	50343	32187
81214	47129	29597
80284	43612	27059
79026	40584	25239
77707	37728	23958
76958	35639	22374
75551	33410	21489
74571	31182	20652
74351	29601	20279
73642	28244	19730
71700	27346	19272
69425	26457	18934
66980	26342	18678
64646	25453	18321
61968	24836	17914
59652	24288	17747
57684	23909	17468
54750	23502	17873
51968	23308	17423
49606	22771	17520
46646	21931	17696
44209	21925	17348
41837	21718	17443
40771	21394	16922
38733	21191	16449
36775	20539	15584
35338	19834	14445
33565	19274	13258
32348	17973	12624
31250	17041	11503
30239	16034	11038
28458	15010	10322
28245	13941	10069
27861	13105	9778
27036	12411	9879
26251	12030	9527
25806	11893	9591
25446	11422	9450
25132	11107	9178
23783	11097	9252
22852	11402	9217
22241	11240	9112
21321	11343	9066
20176	11298	9140
19198	11490	8870
18068	11592	8938
17106	11473	8838
16366	11811	9000
15457	12022	8805
14695	12066	8701
14261	12061	8998
14032	12002	8554
13674	12263	8747
13194	12111	8750
13319	12025	8827
13113	12226	8761
13057	12411	8761
12874	12465	8835
12672	12802	8774
12718	12895	8777
12572	13017	8971
12594	13015	9114
12462	13467	8996
12358	13559	9036
12260	13753	9220
12223	13961	9412
12456	14499	9441
12350	14807	9572
12060	14995	9791
12442	15419	9655
12420	15881	9835
12372	16123	10018
12427	16434	9912
12503	16628	10118
12595	16819	10240
12873	17430	10406
12649	17370	10530
12900	17810	10404
13185	18240	10805
12989	18092	10634
13344	18532	10891
13320	19024	11246
13248	19367	11235
13434	19983	11406
13598	20494	11471
13661	20570	11769
13393	20913	11578
13590	20678	11797
13621	21272	12122
13532	21501	12067
13638	21642	12496
13587	21909	12520
13740	22117	12735
13767	21865	12851
13490	21859	12961
13105	21751	13007
12843	21794	13272
12762	21772	13623
12558	21476	13713
12287	21286	13805
12152	20981	13964
11815	20661	14001
11710	20390	14211
11588	19874	14612
10906	19591	14577
10743	19555	14610
10575	19211	14882
10248	18809	14984
10072	18519	14869
9796	18322	14983
9480	17695	14902
9347	17319	15005
9098	16915	14891
9181	16477	14907
8486	16359	14947
8228	15890	14766
8295	15379	14908
8131	14990	15015
8150	14913	14731
7969	14694	14869
7810	14238	14729
8012	13755	14766
7844	13557	15021
7697	13239	14811
7723	13037	14528
7780	12795	14609
7822	12491	14404
7875	12551	13980
7771	12535	13954
7824	12478	13588
7764	12349	13536
7991	12254	13397
7854	12365	12909
7911	12423	12756
7943	12441	12420
7944	11982	12265
8195	12017	11934
8310	12049	11887
8341	12245	11598
8652	12226	11293
8671	12341	11135
9068	12324	10737
9174	12504	10650
9506	12498	10523
9818	12464	10222
10004	12364	9904
10400	12300	9812
10461	12156	9509
10716	12272	9136
10961	11985	9033
11027	12073	8863
11249	11758	8725
11570	11637	8775
11586	11832	8453
11908	11676	8311
12364	11499	8246
12173	11473	8157
12464	11331	7961
12551	11410	7942
12549	11104	7872
12546	10999	7798
12667	10891	7697
12748	10959	7600
12894	10588	7484
12609	10674	7544
12999	10395	7471
12829	10301	7339
12804	10282	7184
12647	10195	7329
12775	10270	7322
12801	10254	7335
12343	10245	7154
12296	10120	7381
12408	10167	7610
12290	10223	7719
12195	9724	7705
12057	9797	7773
11984	9395	8091
12020	9320	8132
12038	8867	8184
11929	8696	8333
12031	8486	8534
12020	8233	8533
11989	8174	8779
11950	7819	8929
11826	7559	8948
11758	7564	9037
11328	7463	9270
11278	7384	9250
11008	7232	9559
11042	7211	9695
11036	7185	9736
11142	7087	9751
10798	7281	10030
10663	7116	10055
10826	7085	10302
11019	7212	10361
10781	6975	10412
10759	6931	10792
11233	7161	11108
11285	7137	11270
11467	7198	12009
11684	7370	12595
12056	7505	13265
12238	7665	13758
12623	7946	15012
13455	8240	16351
14663	8855	17539
16015	9796	19427
18100	10966	21786
19979	12721	24351
22852	15188	27665
26981	18303	30570
34087	22229	34052
49621	27867	37287
79737	36322	39739
125131	48298	39478
227513	102106	98277
